Country,Population (thousands)
China,1425893
India,1407564
United States of America,336998
Indonesia,273753
Pakistan,231402
Brazil,214326
Nigeria,213401
Bangladesh,169356
Russian Federation,145103
Mexico,126705
Japan,124613
Ethiopia,120283
Philippines,113880
Egypt,109262
Viet Nam,97468
Democratic Republic of the Congo,95894
Iran (Islamic Republic of),87923
Türkiye,84775
Germany,83409
Thailand,71601
United Kingdom,67281
France,64531
United Republic of Tanzania,63588
South Africa,59392
Italy,59240
Myanmar,53798
Kenya,53006
Republic of Korea,51830
Colombia,51517
Spain,47487
Uganda,45854
Sudan,45657
Argentina,45277
Algeria,44178
Iraq,43534
Ukraine,43531
Afghanistan,40099
Poland,38308
Canada,38155
Morocco,37077
Saudi Arabia,35950
Angola,34504
Uzbekistan,34081
Peru,33715
Malaysia,33574
Yemen,32982
Ghana,32833
Mozambique,32077
Nepal,30035
Madagascar,28916
Venezuela (Bolivarian Republic of),28200
Côte d'Ivoire,27478
Cameroon,27199
Dem. People's Republic of Korea,25972
Australia,25921
Niger,25253
China - Taiwan Province of China,23860
Burkina Faso,22101
Mali,21905
Sri Lanka,21773
Syrian Arab Republic,21324
Malawi,19890
Chile,19493
Zambia,19473
Romania,19329
Kazakhstan,19196
Ecuador,17798
Guatemala,17608
Netherlands,17502
Chad,17180
Somalia,17066
Senegal,16877
Cambodia,16589
Zimbabwe,15994
Guinea,13532
Rwanda,13462
Benin,12997
Burundi,12551
Tunisia,12263
Bolivia (Plurinational State of),12079
Belgium,11611
Haiti,11448
Cuba,11256
Jordan,11148
Dominican Republic,11118
South Sudan,10748
Czechia,10511
Sweden,10467
Greece,10445
Azerbaijan,10313
Portugal,10290
Honduras,10278
Papua New Guinea,9949
Tajikistan,9750
Hungary,9710
Belarus,9578
United Arab Emirates,9365
Austria,8922
Israel,8900
Switzerland,8691
Togo,8645
Sierra Leone,8421
China - Hong Kong SAR,7495
Lao People's Democratic Republic,7425
Serbia,7297
Bulgaria,6886
Nicaragua,6851
Libya,6735
Paraguay,6704
Kyrgyzstan,6528
Turkmenistan,6342
El Salvador,6314
Singapore,5941
Denmark,5854
Congo,5836
Lebanon,5593
Finland,5536
Central African Republic,5457
Slovakia,5448
Norway,5403
Liberia,5193
Costa Rica,5154
State of Palestine,5133
New Zealand,5130
Ireland,4987
Mauritania,4615
Oman,4520
Panama,4351
Kuwait,4250
Croatia,4060
Georgia,3758
Eritrea,3620
Uruguay,3426
Mongolia,3348
Bosnia and Herzegovina,3271
Puerto Rico,3256
Republic of Moldova,3062
Albania,2855
Jamaica,2828
Armenia,2791
Lithuania,2787
Qatar,2688
Gambia,2640
Botswana,2588
Namibia,2530
Gabon,2341
Lesotho,2281
Slovenia,2119
North Macedonia,2103
Guinea-Bissau,2061
Latvia,1874
Kosovo (under UNSC res. 1244),1662
Equatorial Guinea,1634
Trinidad and Tobago,1526
Bahrain,1463
Estonia,1329
Timor-Leste,1321
Mauritius,1299
Cyprus,1244
Eswatini,1192
Djibouti,1106
Réunion,966
Fiji,925
Comoros,822
Guyana,805
Bhutan,777
Solomon Islands,708
China - Macao SAR,687
Luxembourg,639
Montenegro,628
Suriname,613
Cabo Verde,588
Western Sahara,566
Malta,527
Maldives,521
Brunei Darussalam,445
Bahamas,408
Belize,400
Guadeloupe,396
Iceland,370
Martinique,369
Vanuatu,319
Mayotte,316
French Polynesia,304
French Guiana,297
New Caledonia,288
Barbados,281
Sao Tome and Principe,223
Samoa,219
Curaçao,190
Saint Lucia,180
Guam,171
Kiribati,129
Grenada,125
Micronesia (Fed. States of),113
Jersey,110
Aruba,107
Seychelles,106
Tonga,106
Saint Vincent and the Grenadines,104
United States Virgin Islands,100
Antigua and Barbuda,93
Isle of Man,84
Andorra,79
Dominica,72
Cayman Islands,68
Bermuda,64
Guernsey,63
Greenland,56
Faroe Islands,53
Northern Mariana Islands,49
Saint Kitts and Nevis,48
Turks and Caicos Islands,45
American Samoa,45
Sint Maarten (Dutch part),44
Marshall Islands,42
Liechtenstein,39
Monaco,37
San Marino,34
Gibraltar,33
Saint Martin (French part),32
British Virgin Islands,31
Bonaire, Sint Eustatius and Saba,27
Palau,18
Cook Islands,17
Anguilla,16
Nauru,13
Wallis and Futuna Islands,12
Tuvalu,11
Saint Barthélemy,11
Saint Pierre and Miquelon,6
Saint Helena,5
Montserrat,4
Falkland Islands (Malvinas),4
Niue,2
Tokelau,2
